title,price,savings_per
"Redmi 13C 5G (Starlight Black, 8GB RAM, 256GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display","13,999",-22%
Redmi 12 5G Moonstone Silver 4GB RAM 128GB ROM,"11,999",-25%
title,price,savings_per
"Tribit MaxSound Plus 24W Bluetooth Wireless Speakers,Powerful Louder Sound&Exceptional XBass(Independent XBass Button),Built in Mic,IPX7 Waterproof,20H Playtime,100ft BT Range for Party/Travel,Black","4,699",-13%
"TRIBIT StormBox Flow Bluetooth Speaker, Speakers Bluetooth Wireless with XBass, 30H Playtime Wireless Speaker, IP67, Bluetooth 5.3, TWS, Custom EQ, Portable Speaker for Outdoor Travel Beach","6,999",-36%
"Philips Audio MMS2625B 2.1 Channel Wireless Bluetooth, Wired Multimedia Computer Speaker - Black","3,409",-32%
"Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450H 14"" (36cm) WUXGA IPS 300Nits Thin and Light Laptop (16GB/1TB SSD/Win 11/Office 21/BacklitKB/FHD Camera/Alexa/3 Mon Game Pass/Grey/1.9Kg),83BF0043IN","63,990",-23%
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13500H 16""(40.6cm) WUXGA IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Cloud Grey/1.89Kg), 82XF003GIN","70,990",-33%
"Lenovo IdeaPad 1 AMD Ryzen 5 7520U 15.6"" HD Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/MS Office 2021/Cloud Grey/1.58Kg), 82VG00J5IN","42,490",-46%
"WINGS Nuvobook V1 Aluminium Alloy Metal Body Core i5 11th Gen 1155G7 - (8 GB/512 GB SSD/Windows 11 Home) WL-Nuvobook V1-RED Thin and Light Laptop (15.6 Inch, Red, 1.60 Kg)","29,490",-51%
"Acer Aspire Lite AMD Ryzen 5 5500U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG","35,990",-40%
"ASUS Creator Series Vivobook 14X OLED (2023), Intel Core i7-12650H 12th Gen, 14"" (35.56 cm) 2.8K 90Hz OLED, Laptop (16GB/1TB/4GB RTX 2050/Win11/Office 2021/FP/Black/1.4 kg), K3405ZFB-KM751WS","79,990",-29%
"ASUS Vivobook S15 OLED (2022) 15.6"" (39.62 cms) FHD OLED, Intel Core i5-12500H 12th Gen, Thin and Light Laptop (16GB/512GB SSD/Iris Xe Graphics/Windows 11/Office 2021/Green/1.8 kg) K3502ZA-L503WS","63,990",-31%
"Meneflix Luminous Mechanical Jellyfish Lamp, High-end Bluetooth Speaker, Atmosphere Lamp, Small Night Lamp, Desk Lamp (Grey)","2,499",-50%
"Portronics SoundDrum 1 10W TWS Portable Bluetooth 5.3 Speaker with Powerful Bass, Inbuilt-FM & Type C Charging Cable Included(Blue)",888,-64%
"Edifier R1280T 21W 2.0 Channel Auxiliary, RCA Bookshelf Speaker - Brown","9,990",-23%
"Printme Super Ultra Mini Boost 5 Watt Wireless Bluetooth Portable Speaker with Exceptional Sound Quality, Portable and Built in Mic (Black)",428,-67%
"KRISONS Cylender 4"" Double Woofer 40W Multi-Media Bluetooth Party Speaker with Wired Mic for Karaoke,2400 MAH Battery, Digital Display,RGB Lights, USB, SD Card, FM Radio,Auto TWS Function & Remote","1,598",-68%
"Meneflix Luminous Mechanical Jellyfish Lamp, High-end Bluetooth Speaker, Atmosphere Lamp, Small Night Lamp, Desk Lamp (Grey)","2,499",-50%
"ZEBRONICS New Launch BTM9801RUCF 2.0 Tower Speaker, 120 Watts, Touch Control, HDMI ARC, Coaxial in, Supports Bluetooth, AUX, USB, SD, Karaoke, Dual Wireless Mic, Powerful Bass","14,999",-35%
"Krisons Cylender 111 50W Portable Speaker with 4"" Double Woofers, Free Wired Mic for Karaoke, in Built Torch, Remote Control with Bluetooth, FM, USB, Micro SD Card Connectivity (Black)","1,898",-53%
"Artis SoundMax 100 Wireless Bluetooth Speaker with USB, FM, Micro TF Card, Hands Free Calling (Black) (8 W RMS Output)",799,-60%
"Sony SRS-NS7 Wireless Neckband Bluetooth Speaker with Dolby Atmos Personalized Home Theater Audio, Built-in mic, 12 Hours of Battery Life, and Included Wireless TV Adaptor WLA-NS7-Black","24,490",-2%
"Ultimate Ears WONDERBOOM 3, Small Portable Wireless Bluetooth Speaker, Big Bass 360-Degree Sound for Outdoors, Waterproof, Dustproof IP67, Floatable, 40 m Range - Black","6,995",-36%
"Tribit [Upgraded Version XSound Go Wireless Bluetooth 5.0 Speakers with Loud Stereo Sound & Rich Bass 16W,24H Playtime,100 ft Bluetooth Range,Outdoor Lightweight IPX7 Waterproof,Built-in Mic (Red)","3,099",-11%
"Bose Wi-Fi, Wireless, Bluetooth Portable Home Speaker with Alexa Voice Control Built-in, Luxe Silver","29,998",-23%
"pTron Fusion One 14W Bluetooth Soundbar Speaker, 20Hrs Playback Time, Colorful 10 RGB Modes, Mini Soundbar for Phones/TV/Laptops/Tablets, Multi Modes BT5.3/3.5mm Aux/TF Card/USB/ (Carbon Black)","1,448",-64%
Zebronics BT4440RUCF 4.1 Channel Multimedia Speakers,"2,999",-30%
"ZEBRONICS New Launch Knock Party DJ Speaker, 230W, Karaoke, Dual Wireless UHF Mic, Dual Bluetooth & USB, Guitar Input, Mic, Aux, A/B Cross Fader, RGB LED, Dual 20.32cm Full Range Drivers","19,999",-50%
"ZEBRONICS New Launch Mytho Trolley Party DJ Speaker, 520 Watts, Supports Bluetooth, HDMI ARC, Optical, USB, mSD, AUX, Dual UHF Wireless MIC, Karaoke & Recording Function, Detachable Satellite","46,999",-33%
Edifier D12 Tabletop Speaker - Integrated Desktop Stereo Bluetooth Speaker - Wireless Computer Speaker for Desktop Use- 70 Watts RMS with Subwoofer Line Out - Wooden Enclosure,"11,990",-11%
"JBL Charge 5 Wi-Fi, Wireless Portable Bluetooth Speaker, Original Pro Sound, 20 Hours Playtime, Deep Bass, Built-in Powerbank, Wi-Fi with AirPlay, IP67 Water & Dustproof, One App (Black)","19,999",-26%
AK TELECOM ONLINE J-B-L Wireless Bluetooth Speakers Mini Boost 4 Mix Color Super Sound,432,-57%
"Harman Kardon Soundsticks 4, Award Winning Timeless Iconic Design, Ambient Light Effects, Bluetooth Speaker with Satellite Speakers & Subwoofer System","29,499",-2%
"ZEBRONICS Space Deck Pro 45W Bluetooth Supporting Portable Speaker with USB,mSD Card,AUX,Built -in FM,LED Lights, TWS Function, Wireless Mic and Remote Control (Black)","5,999",-31%
"truke Thunder Bar 16W Bluetooth Speaker with RGB LEDs - Dual 52mm Speakers, 6Hours Long Battery Life, Mobile/Tablet Holder, AUX, USB, FM Mode, Portable Speaker for Home/Outdoor/Travel [Black]",799,-73%
"ZEBRONICS Barrel 200 Bluetooth 5.0 Portable Speaker with 40W RMS, TWS, Wired Mic, Karaoke, RGB Lights, Mobile Holder, Dual 6.5"" Drivers, Carry Handle and Built-in Rechargeable Battery","3,299",-59%
"ZEBRONICS New Launch BTM9800RUCF 2.0 Tower Speaker, 200 Watts, HDMI ARC, Coaxial in, Supports Bluetooth, AUX, USB, SD, Karaoke, Dual UHF Wireless Mic, Bass & Treble Control, Powerful Bass","18,999",-32%
"Tribit[Upgraded Version XSound Go 16W 5.0 Bluetooth Speaker with Loud Sound & Rich Bass, 24H Playtime, IPX7 Waterproof, Wireless Stereo Pairing, Type-C, Portable Speaker for Home/Outdoor/Travel Black","2,799",-20%
"amazon basics 5W Bluetooth 5.3 Speaker, Upto 36 Hrs Playtime, True Wireless Technology, Built in Mic, Multiple Connectivity Modes (Black)",599,-60%
"amazon basics 5W Bluetooth 5.3 Speaker, Upto 36 Hrs Playtime, True Wireless Technology, Built in Mic, Multiple Connectivity Modes (Black)",599,-60%
"amazon basics 5W Bluetooth 5.3 Speaker, Upto 36 Hrs Playtime, True Wireless Technology, Built in Mic, Multiple Connectivity Modes (Grey)",599,-60%
"Zebronics ZEB-COUNTY 3W Wireless Bluetooth Portable Speaker With Supporting Carry Handle, USB, SD Card, AUX, FM & Call Function. (Green)",549,-45%
"amazon basics 16W Bluetooth Soundbar Speaker with 1200mah Battery, BT v5.1, Aux, USB Port for Mobile, PC, Tablets, and Laptops (Blue)",849,-58%
"JBL Go 3, Wireless Ultra Portable Bluetooth Speaker, Pro Sound, Vibrant Colors with Rugged Fabric Design, Waterproof, Type C (Without Mic, Black)","2,498",-38%
"boAt Stone 650 10W Bluetooth Speaker with Upto 7 Hours Playback, IPX5 and Integrated Controls (Black)","1,999",-60%
"amazon basics 5W Bluetooth 5.3 Speaker, Upto 36 Hrs Playtime, True Wireless Technology, Built in Mic, Multiple Connectivity Modes (Black)",599,-60%
"boAt Stone 180 5W Bluetooth Speaker with Upto 10 Hours Playback, 1.75"" Driver, IPX7 & TWS Feature(Blue)","1,299",-48%
"ZEBRONICS Barrel 200 Bluetooth 5.0 Portable Speaker with 40W RMS, TWS, Wired Mic, Karaoke, RGB Lights, Mobile Holder, Dual 6.5"" Drivers, Carry Handle and Built-in Rechargeable Battery","3,299",-59%
"amazon basics X20R 20W Bluetooth Soundbar with 2000mAh Battery | 2X Bass | Up to 9hrs of Playback | Bluetooth 5.3, Aux in, USB, Micro TF Card Connectivity (Grey)","1,299",-57%
"Tribit[Upgraded Version XSound Go 16W 5.0 Bluetooth Speaker with Loud Sound & Rich Bass, 24H Playtime, IPX7 Waterproof, Wireless Stereo Pairing, Type-C, Portable Speaker for Home/Outdoor/Travel Black","2,799",-20%
"Mivi Play Bluetooth Speaker with 12 Hours Playtime. Wireless Speaker Made in India with Exceptional Sound Quality, Portable and Built in Mic-Turquoise, One Size",898,-55%
"boAt Aavante Bar 490 Bluetooth Soundbar 10W RMS Signature Sound,2.0 Channel,BTv5.1,Dual Full-Range Drivers, AUX, TF Card, USB, Upto 7 Hrs Playback,Built-in Mic,TWS Feature(Classic Black)","1,199",-66%
"Portronics SoundDrum 1 10W TWS Portable Bluetooth 5.3 Speaker with Powerful Bass, Inbuilt-FM & Type C Charging Cable Included(Blue)",888,-64%
"boAt Stone 580 Bluetooth Speaker with 12W RMS Stereo Sound, LED Lights, Up to 8 HRS Playtime, TWS Feature, FM Radio, Multi-Compatibility Mode, IPX4(Midnight Black)","1,999",-60%
"Tribit[Upgraded Version XSound Go 16W 5.0 Bluetooth Speaker with Loud Sound & Rich Bass, 24H Playtime, IPX7 Waterproof, Wireless Stereo Pairing, Type-C, Portable Speaker for Home/Outdoor/Travel Black","2,799",-20%
"Portronics SoundDrum 1 10W TWS Portable Bluetooth 5.3 Speaker with Powerful Bass, Inbuilt-FM & Type C Charging Cable Included(Blue)",888,-64%
"amazon basics 5W Bluetooth 5.3 Speaker, Upto 36 Hrs Playtime, True Wireless Technology, Built in Mic, Multiple Connectivity Modes (Black)",599,-60%
"Mivi Roam 2 Bluetooth 5W Portable Speaker,24 Hours Playtime,Powerful Bass, Wireless Stereo Speaker with Studio Quality Sound,Waterproof, Bluetooth 5.0 and in-Built Mic with Voice Assistance-Blue","1,199",-60%
Everycom LittleBoy 8W Stereo Sound Wireless Portable Bluetooth Speaker (ब्लूटूथ स्पीकर) with Mic & TWS Feature (White),799,-47%
"boAt Stone 180 5W Bluetooth Speaker with Upto 10 Hours Playback, 1.75"" Driver, IPX7 & TWS Feature(Black)","1,299",-48%
"Zebronics ZEB-COUNTY 3W Wireless Bluetooth Portable Speaker With Supporting Carry Handle, USB, SD Card, AUX, FM & Call Function. (Black)",549,-45%
"pTron Newly Launched Fusion Beats 40W Karaoke Bluetooth Party Speaker, Loud & Clear Stereo Sound, RGB Lights, 3 mtr Wired Mic, BT/USB/SD Card/Aux Playback, TWS Pairing & Type C Charging (Black)","1,864",-62%
"boAt Stone 1200 14W Bluetooth Speaker with Upto 9 Hours Battery, RGB LEDs, IPX7 and TWS Feature(Black)","3,999",-43%
"Tribit[Upgraded Version XSound Go 16W 5.0 Bluetooth Speaker with Loud Sound & Rich Bass, 24H Playtime, IPX7 Waterproof, Wireless Stereo Pairing, Type-C, Portable Speaker for Home/Outdoor/Travel Black","2,799",-20%
"Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450H 14"" (36cm) WUXGA IPS 300Nits Thin and Light Laptop (16GB/1TB SSD/Win 11/Office 21/BacklitKB/FHD Camera/Alexa/3 Mon Game Pass/Grey/1.9Kg),83BF0043IN","63,990",-23%
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13500H 16""(40.6cm) WUXGA IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Cloud Grey/1.89Kg), 82XF003GIN","70,990",-33%
"Lenovo IdeaPad 1 AMD Ryzen 5 7520U 15.6"" HD Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/MS Office 2021/Cloud Grey/1.58Kg), 82VG00J5IN","42,490",-46%
"ASUS Vivobook 15 OLED (2023), Intel Core i5-13500H 13th Gen, 15.6"" (39.62 cm) FHD OLED, Thin & Light Laptop (16GB/512GB SSD/Intel Iris Xᵉ/Win 11/Office 2021/Backlit KB/Black/1.7 kg), X1505VA-LK541WS","64,990",-30%
"Samsung Galaxy Book3 Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) Galaxy Book3 Thin and Light Laptop (15.6 Inch, Graphite, 1.58 Kg, with MS Office)","71,790",-36%
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13420H 14"" (36cm) WUXGA OLED 400Nits Laptop (16GB/1TB SSD/Win 11/Office 2021/Backlit KB/FHD 1080p Camera/Alexa/3 Month Game Pass/Grey/1.46Kg), 82XD006GIN","73,990",-25%
"AVITA Laptop Liber E Intel Core I3-1215U 15.6 Inch 8Gb Ram, 512Gb Ssd - Windows 11 Home","25,990",-53%
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i3 15.6 inch (39.6cm) FHD Laptop (8GB/512GB SSD/Windows 11/Office 2021/Alexa Built-in/3 Month Game Pass/Arctic Grey/1.62Kg), 82X70033IN","39,490",-40%
"Dell G15 5530 Gaming Laptop, Intel i9-13900HX,16GB DDR5,1TB SSD,NVIDIA RTX 4060-8GB GDDR6, 15.6"" (39.62cm) FHD 165Hz,NVIDIA G-SYNC+DDS Display,Win 11, Backlit Keyboard 4-Zone,Dark Shadow Gray, 2.65 Kg","1,47,990",-16%
"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty","24,225",-36%
"Acer Aspire 3 Thin and Light Laptop AMD Ryzen 5 7520U Quad-Core Processor (8 GB/ 512 GB SSD/Windows 11 Home/MS Office) Pure Silver, A315-24, 39.6 cm (15.6 inches) FHD Display / 1.78 Kg","34,980",-34%
"Chuwi CoreBook X i5 14"" Laptop, 16GB RAM 512GB SSD, Windows 11, Intel Core i5-1035G1 (Upto 3.6GHz), WiFi 6, USB3.2, Backlit Keyboard, Webcam, Bluetooth 5.2, HDMI Port, 46.2 Wh, 1.4kg (Gray)","34,990",-30%
"Dell Inspiron 7440 Laptop,Intel Evo Powered Core Ultra 7 155H, 16GB LPDDR5X, 1TB SSD, 14"" (35.56cm) 2.2K AG 300nits, Win 11 + MSO'21 + 15 Month McAfee, Backlit KB + FPR, Ice Blue, Thin & light- 1.24kg","97,490",-25%
"ASUS VivoBook 15 (2022), Intel®Core™ i3-1215U 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (8GB/512 SSD//Windows 11/Office 2021//Backlit KB/Icelight Silver/1.7 kg), X1502ZA-EJ322WS","34,990",-39%
"Lenovo IdeaPad Slim 3 Chromebook Intel Celeron N4020 4th Gen 11.6'' (29.46cm) HD Thin & Light Laptop (4GB/64GB eMMC/Chrome OS/Upto 10hr Battery/2W x2 HD Speaker/Onyx Black/1.12Kg), 82BA001PHA","17,990",-41%
"ASUS Creator Series Vivobook 16X (2023), Intel Core i5-12450H 12th Gen, 16"" (40.64 cm) FHD+ 120Hz, Laptop (16GB/512GB/6GB RTX 4050 /Win11/Office 2021/FP/70WHr /Black/1.8 kg), K3605ZU-MB541WS","76,990",-34%
"AVITA SATUS S111 NU14A1INC43PN-SG 14.1 FHD (35.81cms) Laptop (Intel Celeron N4020/4GB/128GB SSD/FHD Display/Windows 11 Home/Intel UHD Graphics), Space Grey","15,990",-47%
Lenovo Legion 5 Pro AMD Ryzen 7 5800H40cm 500Nits QHD Gaming Laptop(16GB/1TB SSD/RTX 3060 6GB GDDR6 Graphics/165Hz/Windows 11/Office 2021/RGB Backlit/3mnth Xbox Game Pass/Storm Grey/2.45Kg)82JQ00JCIN,"89,990",-54%
"Samsung Galaxy Book3 360 Intel 13th Gen i7 EvoTM 33.78cm(13.3"") Super Amoled 2-in-1 Touchscreen Laptop (16 GB/512GB SSD/Windows11/MSOffice/BacklitKB/Fingerprint Sensor/Graphite/1.16Kg), NP730QFG-KA1IN","1,12,990",-18%
"Lenovo IdeaPad Slim 3 12th Gen Intel Core i3 15.6"" (39.6cm) FHD 250 Nits Thin and Light Laptop (8GB/256GB SSD/Windows 11/Office 2021/Alexa Built-in/3 Month Game Pass/Grey/1.62Kg), 82RK00XDIN","31,490",-37%
"HP Laptop 15, 12th Gen i3-1215U, 15.6-inch (39.6 cm), FHD, Anti-Glare, 8GB DDR4, 512GB SSD, Intel UHD Graphics, Dual Speakers, (Win 11, MSO 2021, Silver, 1.69 kg), 15s-fy5006TU","34,949",-31%
"ZEBRONICS PRO Series Y NBC 1S, Intel Core 11th Gen i3 Processor 8GB RAM & 512GB SSD Laptop, 15.6 Inch (39.6 CM), IPS Display, Ultra Slim, 38.5Wh Large Battery, Windows 11, Silver, 1.76 Kg","23,990",-47%
Lenovo S14 Gen3 IAP Laptop 12th Gen Intel Core i5-1235U/ 16GB DDR4 Ram/ 512 GB SSD/ 14.0 FHD Display/Windows 11/ Ms-Office/Intel Iris Xe Graphics/Fingerprint/Backlit Keyboard/ 3YR Premium Warranty,"48,990",-60%
"MSI Cyborg 15, Intel 12th Gen. i5-12450H, 40CM FHD 144Hz Gaming Laptop (8GB/512GB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX 2050, GDDR6 4GB/Black/1.98Kg), A12UCX-265IN","54,499",-37%
"HP Omen Gaming Laptop, AMD Ryzen™ 7 7840HS,16.1 inch(40.9cm) FHD,Micro-Edge,16GB RAM,512GB SSD,MSO,NVIDIA GeForce RTX(4060 8GB GDDR6),Win 11,Shadow Black, 2.32kg, 16-xf0059AX","1,09,990",-17%
"ZEBRONICS PRO Series Z NBC 3S, Intel Core 12th Gen i3 Processor 8GB RAM & 512GB SSD Laptop, 15.6 Inch (39.6CM), IPS 180° Display, Dolby Atmos, 38.5Wh Large Battery, Windows 11, Space Grey, 1.76 Kg","25,990",-49%
"ASUS Creator Series Vivobook 16X (2023), Intel Core i5-12450H 12th Gen, 16"" (40.64 cm) FHD+, Laptop (8GB/512GB/4GB RTX 2050/Win11/Office 2021/FP/Black/1.8 kg), K3605ZF-MBN523WS","55,990",-35%
"ASUS TUF Gaming F15, 15.6-inch (39.62 cms) FHD 144Hz, Intel Core i7-12700H 12th Gen, 4GB NVIDIA RTX 3050, Gaming Laptop (16GB/1TB SSD/Win11/MSO/90WHrs Battery/Gray/2.20 Kg), FX577ZC-HN192WS","84,990",-29%
"ASUS Zenbook S 13 OLED (2023), 1kg Weight & 1cm Thin, Intel Core EVO i5 13th Gen, 13.3 Inch 2.8K OLED, Thin & Light Laptop (16GB/512GB SSD/Iris Xe/Win 11/Office 2021/63WHrs/Blue), UX5304VA-NQ541WS","94,500",-27%
"ASUS Vivobook 15, Intel Core i5-1235U 12th Gen, 15.6"" (39.62 cm) FHD, Thin & Light Laptop (8GB/512GB SSD/Intel Iris Xᵉ Graphics/Windows 11/Office 2021/Alexa/FP Sensor/Silver/1.7 kg), X1502ZA-EJ515WS","47,990",-32%
"Lenovo IdeaPad Slim 3 Intel Core i7 12th Gen 15.6 inch (39.62cm) FHD Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office 2021/3months Game Pass/Arctic Grey/1.63Kg), 82RK011EIN","59,990",-28%
"Dell Inspiron 3501 (15.6 inches) FHD Display Laptop (Intel 11th Gen i5-1135G7/ 8GB / 1TB + 256GB SSD/NVIDIA MX330 2GB Graphics/Windows 10 + MSO/Soft Mint Color) D560439WIN9S, 1.83kg","49,990",-41%
"Dell Alienware m18 R1 Gaming Laptop,Intel Core i9-13900HX/32GB/1TB SSD/NVIDIA RTX 4080 12GB GDDR6/18.0""(45.72cm) QHD 165Hz/Win 11+MSO'21/15 Month McAfee/Backlit KB per-Key AlienFX/Dark Metallic Moon","3,28,488",-25%
"ASUS Vivobook 15 OLED (2023), Intel Core i5-13500H 13th Gen, 15.6"" (39.62 cm) FHD OLED, Thin & Light Laptop (16GB/512GB SSD/Intel Iris Xᵉ/Win 11/Office 2021/Backlit KB/Black/1.7 kg), X1505VA-LK541WS","64,990",-30%
"HP Pavilion 15, Ryzen 5 5625U, 15.6 inch(39.6cm) FHD Laptop, 8GB RAM,512GB SSD, AMD Radeon Graphics,B&O Audio,MSO,Backlit Keypad(Win 11,Alexa,1.75 Kgs,Natural Silver) 15-eh2050au","48,990",-21%
"Lenovo S14 Intel Core I5 12th Gen 14"" (35.56 cm) FHD IPS (1920x1080) Antiglare 300nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Professional/Cloud Grey/1.5 kg), 82TW001CIH","47,790",-31%
"HP Victus Gaming Laptop,12th Gen Intel Core i5-12450H,4GB RTX 2050 GPU,15.6-inch (39.6 cm), FHD,IPS,8GB DDR4, 512GB SSD, Backlit KB,Dual Speakers(MSO, Blue,2.37 kg),fa1132TX/fa1312tx","56,990",-27%
"Lenovo LOQ 2024 12th Gen Intel Core i5-12450HX 15.6"" (39.6cm) 144Hz 300Nits FHD Gaming Laptop (8GB/512GB SSD/Win 11/Intel Arc A530M 4GB Graphics/100% sRGB/3 Month Game Pass/Grey/2.4Kg), 83FQ0009IN","59,990",-25%
"Lenovo LOQ Intel Core i7-13620H 15.6"" (39.6cm) FHD IPS 144Hz 350Nits Gaming Laptop (16GB/512GB SSD/Win 11/NVDIA RTX 4060 8GB/3 Month Game Pass/Office 2021/Storm Grey/2.4Kg), 82XV00BRIN","96,070",-38%
"WINGS Nuvobook V1 Aluminium Alloy Metal Body Core i5 11th Gen 1155G7 - (8 GB/512 GB SSD/Windows 11 Home) WL-Nuvobook V1-RED Thin and Light Laptop (15.6 Inch, Red, 1.60 Kg)","29,490",-51%
"Acer Nitro V Gaming Laptop 13th Gen Intel Core i5-13420H Processor/ 15.6""(39.6cms) FHD 144Hz Display (8GB/512GB SSD/RTX 4050 Graphics/Windows 11 Home/Wi-Fi 6), ANV15-51","70,990",-25%
"HP Pavilion Plus Laptop 12th Gen Intel Core i5-12500H, 14inch(35.6 cm) Creator Laptop with HDR 500 Nits OLED Eye Safe Display (16GB RAM/512GB SSD/B&O/Intel Iris Xe Graphics/Win 11/Alexa/14-eh0037TU","69,890",-30%
"ASUS TUF Gaming F15, 15.6-inch (39.62 cms) FHD 144Hz, Intel Core i7-12700H 12th Gen, 4GB NVIDIA GeForce RTX 3050, Gaming Laptop (16GB/1TB SSD/Windows 11/90WHrs Battery/Gray/2.20 Kg), FX577ZC-HN192W","82,990",-29%
"ASUS Vivobook Pro 15, AMD Ryzen 7 6800HS, 15.6"" (39.62 cm) FHD, Creator Laptop (16 GB RAM/512GB SSD/4GB RTX 3050/Win11//Backlit KB/Fingerprint/Blue/1.80kg), M6500RC-HN741WS","69,990",-33%
"Dell Alienware m18 R1 Gaming Laptop, Intel Core i9-13980HX Processor/64GB/1TB SSD/18.0"" (45.72cm) QHD+ FHD 165Hz/NVIDIA RTX 4090 16GB GDDR6/Win 11 + MSO'21/15 Month McAfee/Dark Metallic Moon/2.72kg","4,48,990",-17%
"Lenovo IdeaPad Slim 1 AMD Ryzen 3 7320U 15.6"" HD Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/MS Office 2021/Cloud Grey/1.58Kg), 82VG00JJIN","29,990",-53%
"Apple 2023 MacBook Pro (16-inch, M3 Max chip with 16‑core CPU and 40‑core GPU, 48GB Unified Memory, 1TB) - Space Black","3,69,990",-7%
"Lenovo LOQ 2024 12th Gen Intel Core i5-12450HX 15.6"" (39.6cm) 144Hz 300Nits FHD Gaming Laptop (8GB/512GB SSD/Win 11/Intel Arc A530M 4GB Graphics/100% sRGB/3 Month Game Pass/Grey/2.4Kg), 83FQ0009IN","59,990",-25%
"AVITA Laptop Pura S101 14"" Inch Celeron 8Gb Ram, 256Gb Ssd - Intel, Windows 11 Home","16,990",-43%
"ASUS Creator Series Vivobook 14X OLED 2023, Intel Core i5-12450H 12th Gen, 14.0-inch 90Hz, Laptop (16GB/512GB SSD/NVIDIA GeForce RTX 2050/Win11//FP/63WHr/Black/1.40 kg),K3405ZFB-KM541WS","65,990",-37%
